class,trainset,testset,total
莲雾,150,37,187
黄桃,148,37,185
圣女果,153,38,191
芒果,132,33,165
菠萝,152,37,189
石榴,150,37,187
桑葚,149,37,186
沃柑,154,38,192
山竹,143,35,178
血橙,146,36,182
人参果,142,35,177
羊角蜜,154,38,192
菠萝莓,87,21,108
猕猴桃,150,37,187
哈密瓜,151,37,188
山楂,156,39,195
黑莓,144,36,180
沙棘,142,35,177
柚子,148,37,185
脐橙,151,37,188
杨桃,153,38,191
甘蔗,155,38,193
车厘子,129,32,161
杨梅,149,37,186
蛇皮果,131,32,163
西柚,141,35,176
百香果,145,36,181
牛油果,117,29,146
无花果,152,38,190
草莓,153,38,191
白兰瓜,100,25,125
椰子,154,38,192
西瓜,149,37,186
蓝莓,154,38,192
桂圆,153,38,191
佛手瓜,127,31,158
葡萄-红,156,38,194
毛丹,125,31,156
酸角,151,37,188
番石榴-红,119,29,148
荔枝,156,38,194
香橼,100,25,125
香蕉,145,36,181
水蜜桃,140,34,174
柠檬,119,29,148
甜瓜-白,65,16,81
胡萝卜,146,36,182
橘子,140,34,174
白心火龙果,146,36,182
梨,151,37,188
蟠桃,142,35,177
甜瓜-伊丽莎白,72,18,90
葡萄-白,124,31,155
杏,153,38,191
砂糖橘,142,35,177
芦柑,140,35,175
樱桃,128,32,160
枣,153,38,191
榴莲,148,36,184
粑粑柑,152,37,189
枇杷,143,35,178
西红柿,148,36,184
甜瓜-金,39,9,48
柿子,149,37,186
菠萝蜜,152,38,190
甜瓜-绿,33,8,41
羊奶果,154,38,192
油桃,156,39,195
树莓,146,36,182
西梅,154,38,192
红心火龙果,154,38,192
沙果,147,36,183
青苹果,151,37,188
番石榴-百,104,26,130
白萝卜,156,38,194
李子,152,37,189
金桔,142,35,177
红苹果,142,35,177
青柠,116,29,145
木瓜,148,36,184
腰果,157,39,196
